Node,Depth,Value
B5,3,25
A3,4,20
B5,3,20
A4,4,25
B5,3,20
A5,4,25
B5,3,20
A6,4,25
B5,3,20
A7,4,25
B5,3,20
A8,4,25
B5,3,20
A9,4,25
B5,3,20
A10,4,25
B5,3,20
A11,4,25
B5,3,20
B7,3,20
B6,3,Infinity
A2,4,25
B6,3,25
A3,4,20
B6,3,20
A4,4,25
B6,3,20
A5,4,25
B6,3,20
A6,4,25
B6,3,20
A7,4,25
B6,3,20
A8,4,25
B6,3,20
A9,4,25
B6,3,20
A10,4,25
B6,3,20
A11,4,25
B6,3,20
B7,3,20
B8,3,Infinity
A2,4,25
B8,3,25
A3,4,20
B8,3,20
A4,4,25
B8,3,20
A5,4,25
B8,3,20
A6,4,25
B8,3,20
A7,4,25
B8,3,20
A8,4,25
B8,3,20
A9,4,25
B8,3,20
A10,4,25
B8,3,20
A11,4,25
B8,3,20
B7,3,20
B9,3,Infinity
A2,4,25
B9,3,25
A3,4,20
B9,3,20
A4,4,25
B9,3,20
A5,4,25
B9,3,20
A6,4,25
B9,3,20
A7,4,25
B9,3,20
A8,4,25
B9,3,20
A9,4,25
B9,3,20
A10,4,25
B9,3,20
A11,4,25
B9,3,20
B7,3,20
B10,3,Infinity
A2,4,25
B10,3,25
A3,4,20
B10,3,20
A4,4,25
B10,3,20
A5,4,25
B10,3,20
A6,4,25
B10,3,20
A7,4,25
B10,3,20
A8,4,25
B10,3,20
A9,4,25
B10,3,20
A10,4,25
B10,3,20
A11,4,25
B10,3,20
B7,3,20
B11,3,Infinity
A2,4,25
B11,3,25
A3,4,20
B11,3,20
A4,4,25
B11,3,20
A5,4,25
B11,3,20
A6,4,25
B11,3,20
A7,4,25
B11,3,20
A8,4,25
B11,3,20
A9,4,25
B11,3,20
A10,4,25
B11,3,20
A11,4,25
B11,3,20
B7,3,20
B7,3,20
B8,3,Infinity
A2,4,24
B8,3,24
A3,4,19
B8,3,19
A4,4,24
B8,3,19
A5,4,24
B8,3,19
A6,4,24
B8,3,19
A7,4,24
B8,3,19
A8,4,24
B8,3,19
A9,4,24
B8,3,19
A10,4,24
B8,3,19
A11,4,24
B8,3,19
B7,3,20
B9,3,Infinity
A2,4,24
B9,3,24
A3,4,19
B9,3,19
A4,4,24
B9,3,19
A5,4,24
B9,3,19
A6,4,24
B9,3,19
A7,4,24
B9,3,19
A8,4,24
B9,3,19
A9,4,24
B9,3,19
A10,4,24
B9,3,19
A11,4,24
B9,3,19
B7,3,20
B10,3,Infinity
A2,4,24
B10,3,24
A3,4,19
B10,3,19
A4,4,24
B10,3,19
A5,4,24
B10,3,19
A6,4,24
B10,3,19
A7,4,24
B10,3,19
A8,4,24
B10,3,19
A9,4,24
B10,3,19
A10,4,24
B10,3,19
A11,4,24
B10,3,19
B7,3,20
B11,3,Infinity
A2,4,24
B11,3,24
A3,4,19
B11,3,19
A4,4,24
B11,3,19
A5,4,24
B11,3,19
A6,4,24
B11,3,19
A7,4,24
B11,3,19
A8,4,24
B11,3,19
A9,4,24
B11,3,19
A10,4,24
B11,3,19
A11,4,24
B11,3,19
B7,3,20
A3,2,20
B8,3,Infinity
A2,4,18
B8,3,18
A3,4,13
B8,3,13
A4,4,18
B8,3,13
A5,4,18
B8,3,13
A6,4,18
B8,3,13
A7,4,18
B8,3,13
A8,4,18
B8,3,13
A9,4,18
B8,3,13
A10,4,Infinity
A2,4,22
A10,4,22
A3,4,17
A10,4,17
A4,4,22
A10,4,17
A5,4,22
A10,4,17
A6,4,22
A10,4,17
A7,4,22
A10,4,17
A8,4,22
A10,4,17
A9,4,22
A10,4,17
A10,4,18
A10,4,17
A11,4,22
A10,4,17
B8,3,13
A11,4,Infinity
A2,4,22
A11,4,22
A3,4,17
A11,4,17
A4,4,22
A11,4,17
A5,4,22
A11,4,17
A6,4,22
A11,4,17
A7,4,22
A11,4,17
A8,4,22
A11,4,17
A9,4,22
A11,4,17
A10,4,22
A11,4,17
A11,4,18
A11,4,17
B8,3,13
A3,2,20
B9,3,Infinity
A2,4,18
B9,3,18
A3,4,13
B9,3,13
A4,4,18
B9,3,13
A5,4,18
B9,3,13
A6,4,18
B9,3,13
A7,4,18
B9,3,13
A8,4,18
B9,3,13
A9,4,18
B9,3,13
A10,4,18
B9,3,13
A11,4,Infinity
A2,4,22
A11,4,22
A3,4,17
A11,4,17
A4,4,22
A11,4,17
A5,4,22
A11,4,17
A6,4,22
A11,4,17
A7,4,22
A11,4,17
A8,4,22
A11,4,17
A9,4,22
A11,4,17
A10,4,22
A11,4,17
A11,4,18
A11,4,17
B9,3,13
A3,2,20
B10,3,Infinity
A2,4,18
B10,3,18
A3,4,13
B10,3,13
A4,4,18
B10,3,13
A5,4,18
B10,3,13
A6,4,18
B10,3,13
A7,4,18
B10,3,13
A8,4,18
B10,3,13
A9,4,18
B10,3,13
A10,4,18
B10,3,13
A11,4,Infinity
A2,4,22
A11,4,22
A3,4,17
A11,4,17
A4,4,22
A11,4,17
A5,4,22
A11,4,17
A6,4,22
A11,4,17
A7,4,22
A11,4,17
A8,4,22
A11,4,17
A9,4,22
A11,4,17
A10,4,22
A11,4,17
A11,4,18
A11,4,17
B10,3,13
A3,2,20
B11,3,Infinity
A2,4,18
B11,3,18
A3,4,13
B11,3,13
A4,4,18
B11,3,13
A5,4,18
B11,3,13
A6,4,18
B11,3,13
A7,4,18
B11,3,13
A8,4,18
B11,3,13
A9,4,18
B11,3,13
A10,4,18
B11,3,13
A11,4,Infinity
A2,4,22
A11,4,22
A3,4,17
A11,4,17
A4,4,22
A11,4,17
A5,4,22
A11,4,17
A6,4,22
A11,4,17
A7,4,22
A11,4,17
A8,4,22
A11,4,17
A9,4,22
A11,4,17
A10,4,22
A11,4,17
A11,4,18
A11,4,17
B11,3,13
A3,2,20
B2,1,20
A4,2,-Infinity
B2,3,Infinity
A2,4,12
B2,3,12
A3,4,12
B2,3,12
A4,4,7
B2,3,7
A5,4,13
B2,3,7
A6,4,13
B2,3,7
A7,4,13
B2,3,7
A8,4,13
B2,3,7
A9,4,13
B2,3,7
A10,4,13
B2,3,7
A11,4,13
B2,3,7
A4,2,7
B3,3,Infinity
A2,4,17
B3,3,17
A3,4,17
B3,3,17
A4,4,12
B3,3,12
A5,4,17
B3,3,12
A6,4,17
B3,3,12
A7,4,17
B3,3,12
A8,4,17
B3,3,12
A9,4,17
B3,3,12
A10,4,Infinity
A2,4,21
A10,4,21
A3,4,21
A10,4,21
A4,4,16
A10,4,16
A5,4,21
A10,4,16
A6,4,21
A10,4,16
A7,4,21
A10,4,16
A8,4,21
A10,4,16
A9,4,21
A10,4,16
A10,4,17
A10,4,16
A11,4,21
A10,4,16
B3,3,12
A11,4,18
B3,3,12
A4,2,12
B4,3,Infinity
A2,4,17
B4,3,17
A3,4,17
B4,3,17
A4,4,12
B4,3,12
A5,4,17
B4,3,12
A6,4,17
B4,3,12
A7,4,17
B4,3,12
A8,4,17
B4,3,12
A9,4,17
B4,3,12
A10,4,Infinity
A2,4,21
A10,4,21
A3,4,21
A10,4,21
A4,4,16
A10,4,16
A5,4,21
A10,4,16
A6,4,21
A10,4,16
A7,4,21
A10,4,16
A8,4,21
A10,4,16
A9,4,21
A10,4,16
A10,4,17
A10,4,16
A11,4,21
A10,4,16
B4,3,12
A11,4,18
B4,3,12
A4,2,12
B5,3,Infinity
A2,4,17
B5,3,17
A3,4,17
B5,3,17
A4,4,12
B5,3,12
A5,4,17
B5,3,12
A6,4,17
B5,3,12
A7,4,17
B5,3,12
A8,4,17
B5,3,12
A9,4,17
B5,3,12
A10,4,Infinity
A2,4,21
A10,4,21
A3,4,21
A10,4,21
A4,4,16
A10,4,16
A5,4,21
A10,4,16
A6,4,21
A10,4,16
A7,4,21
A10,4,16
A8,4,21
A10,4,16
A9,4,21
A10,4,16
A10,4,17
A10,4,16
A11,4,21
A10,4,16
B5,3,12
A11,4,18
B5,3,12
A4,2,12
B6,3,Infinity
A2,4,17
B6,3,17
A3,4,17
B6,3,17
A4,4,12
